AutoID,Date,Year,Month,MediaType,Topic,FullText
181974,10/7/2014,2014,10,facebook,S,seriously folks... dont ever use BankA bank. they are a pain in my ass every time i get stuck financing through them. they shouldnt even be allowed to be a bank
187816,12/27/2014,2014,12,facebook,PR,stop by the Name booth at the hmong international new year and get some good stuff including our 2015 calendar made possible buy all our great sponsors!! BankA is at our booth today with great information on your banking needs! we also have information from Name & e on how to help save you money and energy and a free oil recycling packet from the city of fresno Name oil Name program!! come by and say hi!
213130,8/26/2014,2014,8,facebook,NS,what are the five steps on your journey to college financial aid? find out with our infographic: INTERNET
50119,8/30/2015,2015,8,twitter,CS,twit_hndl_BankA this was the final straw and Name severing this 20 + year business relationship.
189459,7/7/2015,2015,7,facebook,CS,Name Name BankA shitting on people lmao.
153808,8/11/2015,2015,8,twitter,NS,Name mack 2012 legendary BankA BankA 160 years pony horse stuffed plush Ö e-beautiful-products. buycheapnow. info/ buy-f03/ 01/? qu Ö INTERNET
156065,1/29/2015,2015,1,facebook,S,opening a new checking account.... weve narrowed down to BankD or BankA.... Name cast your vote:)or share your pro/ con experience:)
46000,8/25/2015,2015,8,twitter,CS,"twit_hndl Name, what happened? anything i can do to help? Name_Resp"
12713,8/16/2015,2015,8,twitter,CS,twit_hndl waqddup witchu BankB i see u be getting to this money fr hml we could rebanke take this shit over hml
102216,8/5/2015,2015,8,twitter,NS,ex-BankA compliance officer spared penalty in Name case over altered document twit_hndl INTERNET Ö
114960,8/16/2015,2015,8,twitter,NS,historic scale miniatures BankA express office
132442,1/3/2015,2015,1,facebook,NS,Name Name shared Name Name photo. weather/ road conditions update. intersection by the viking and BankA blocked off by stuck semi!!!
89592,8/28/2015,2015,8,twitter,NS,BankC poll: ì has the global equity sell-off gone too far? î n = 387 yes = 36.5 % Name = 34.6 % { me } too early to tell = 23.9 %
8565,8/5/2015,2015,8,twitter,CS,twit_hndl_BankA thanks. ill call in the morning.
55045,8/6/2015,2015,8,twitter,NS,getcollegeready
213809,9/12/2014,2014,9,facebook,S,whats a good bank for me to open an account with? not Name Name BankB...
187780,10/9/2014,2014,10,facebook,NS,stone neapolitan pizzeria- BankD mission main street Name vote for stone neapolitan pizzeria at https:// INTERNET- BankDs$ 3 Name mission main street Name program for small business is in full swing! apply or vote today! learn more here: INTERNET INTERNET
28122,8/15/2015,2015,8,twitter,CS,twit_hndl does it work with apps like BankD bank to login like iphone?
193603,12/17/2014,2014,12,facebook,NS,the dramatic highlights from BankCs 200- Name Name INTERNET there when you needed it... and sometimes when you didnt.
50646,8/25/2015,2015,8,twitter,S,twit_hndl_BankA yall got shitty service for real and dont try to send some fake ass reply
52087,8/31/2015,2015,8,twitter,CS,twit_hndl alert preferences can be modified or deleted by logging into INTERNET and updating your alert settings. Name_Resp
97355,1/3/2015,2015,1,facebook,CS,Name Name Name Name went to make a deposit to BankA and they would not look up my sons account number so i could give them cash to deposit! Name one place in geneseo i am glad i do not bank! thank you central bank for being there!!!!
108648,11/28/2014,2014,11,facebook,S,go to BankA they are great
8513,8/27/2015,2015,8,twitter,CS,twit_hndl_BankA thanks a lot. i just called and got it waived. thank you so much.
67517,8/11/2015,2015,8,twitter,PR,another bank gets yanked by BankB INTERNET
143116,8/8/2014,2014,8,facebook,NS,lombard perry BankA dispute worker is now at the sceond motel 6 on san bernado ave the motel should be searched for body bags with her d. n. a. on them.
189902,8/27/2015,2015,8,twitter,NS,"teller- Name/ Name market- pennsylvania ave financial center- Name 20 hours- washington, dc- BankB INTERNET"
11529,8/31/2015,2015,8,twitter,CS,twit_hndl_BankB someone needs to contact me. i just had an unacceptable experience with your online support.
136683,10/2/2014,2014,10,facebook,PR,BankD discloses data breach Name millions new Name-- BankD & Name. says that a data breach affected 76 million households and 7 million small businesses. Name Name Name bank says INTERNET
128467,8/18/2015,2015,8,twitter,PR,"in other news.. iraq has hired BankC, deutsche and BankD  to help with its$ 6 Name bond issue INTERNET Ö"
11546,8/27/2015,2015,8,twitter,CS,twit_hndl_BankB takes good care of me??
156057,8/14/2015,2015,8,twitter,NS,opened up my BankB account and was like INTERNET
191246,10/17/2014,2014,10,facebook,PR,thank you BankA for being such a huge community supporter! Name Name Name Name Name grind Name hunger
108195,8/17/2015,2015,8,twitter,NS,give BankD online seeing as how the outweigh shift trailers against transfer: viqi dlvr. it/ bssgjk
127620,2/19/2015,2015,2,facebook,NS,Name looking for a job with 40k- 45k salary package package(negotiable)depends on the offer. i have 5years experience. 4years with BankD  Name & BankD as Name/ resolutions specialist. 1year with convergys as fraud/ Name analyst. Name willing to start asap. 09162520213
14321,8/26/2015,2015,8,twitter,S,twit_hndl_BankB_help Name theres no way for a couple to have a fee-free joint checking account without have direct deposit into it?
136066,8/12/2015,2015,8,twitter,NS,BankD & Name. trims Name target price to$ 38.00$ Name ift. tt/ 1il4uhm
25284,8/17/2015,2015,8,twitter,CS,twit_hndl well in case you dont survive it was nice knowing ya ya and im happy i got to meet you at BankA center center. can you send me your
140586,8/16/2015,2015,8,twitter,NS,Name Name given new Name 156 Name Name at BankD & Name.$ lam ift. tt/ 1glg4ni
209683,8/12/2015,2015,8,facebook,CS,BankA is the shittiest bank there is! BankA blows donkey balls!!
16703,8/14/2015,2015,8,twitter,CS,twit_hndl_BankD twit_hndl_BankD why hasnt the director from the executive office returned my call? where is my money. BankD discriminates against black women
45856,8/28/2015,2015,8,twitter,CS,twit_hndl we appreciate the mention. feel free to tweet us if you have a question of concern in the future. have a great day. Name_Resp
133921,12/23/2014,2014,12,facebook,NS,joy Name shared Name Name Name Name Name photo.
220224,12/26/2014,2014,12,facebook,NS,Name Name shared Name Name Name Name Name photo.
32594,8/24/2015,2015,8,twitter,CS,twit_hndl Name glad to hear this. take care! Name_Resp
90475,12/26/2014,2014,12,facebook,NS,BankC philippines irate caller Name(BankC scandal)INTERNET pota pota pota pota pota pota pota!!! Name mura galore lol Name source:.
141252,9/26/2014,2014,9,facebook,NS,learning the story of BankA for homework lol you should do the same juan Name
39495,8/22/2015,2015,8,twitter,S,twit_hndl thanks for tweeting. we plan to change our cards to Name and pin later this year. we dont have a specific date at this time. Name_Resp
24627,8/19/2015,2015,8,twitter,PR,twit_hndl twit_hndl_BankD provided fantastic support to entrepreneurs & celebrated their success in
50572,8/6/2015,2015,8,twitter,NS,twit_hndl_BankA woop woop Name
153052,2/5/2015,2015,2,facebook,NS,Name southern bringing 500 new jobs Name norfolk Name job opportunity open. when BankB. let go. norfolk southern southern. opens jobs INTERNET norfolk southern corp. southern Name. announced that it will be asking at least 500 employees currently working in their roanoke offices to relocate to norfolk va...
75839,4/22/2015,2015,4,facebook,PR,BankB proudly supports the Name museum of american art. opening may 1st in its new location in the meatpacking district district.
171864,8/3/2015,2015,8,twitter,NS,"ret_twit twit_hndl:. twit_hndl_BankD had the highest ad recall of any us bank in Name, and in three of the four prior quarters, per new twit_hndl data bit. ly/ 1iel81g"
94065,8/1/2015,2015,8,facebook,NS,congratulations to special olympics golfer Name trojan for winning a gold medal at the special olympics world Name los angeles Name 2015. what an accomplishment!
57144,8/22/2015,2015,8,twitter,NS,reuters
117,8/20/2015,2015,8,twitter,S,- in july BankD raised credit limit limit- figured BankD raised it cuz wld start charging interest but as of aug BankD raised it from 0 to 23 %
116279,8/10/2015,2015,8,twitter,S,how to cash in a BankA check?
163435,8/7/2014,2014,8,facebook,NS,romesseum chi BankC/ massmind management management twit_hndl twit_hndl official website: INTERNET
42032,8/5/2015,2015,8,twitter,CS,"twit_hndl if there is anything we can help with on twitter, please feel free to reach out. were here until 11pm et. Name_Resp"
182052,12/3/2014,2014,12,facebook,NS,service dog finds new home and new best friend local veteran receives service dog from fellow veteran at BankA. INTERNET
138516,9/10/2014,2014,9,facebook,CS,just got off a 40 mins phone call to BankA about my mortgage. they screwed up again on my payment. Name getting rebanke tired of calling them at least twice a month cant they figure it out. i rebanke wish i didnt have them for my mortgage!!!!
176967,8/13/2015,2015,8,twitter,NS,ret_twit twit_hndl: twit_hndl twit_hndl twit_hndl twit_hndl aug 15th twit_hndl_BankA BankA stage at twit_hndl Name Name INTERNET
116747,1/25/2015,2015,1,facebook,NS,https:// INTERNET BankB Name.
63230,12/28/2014,2014,12,facebook,NS,a BankD debit card belonging to Name l Name was found on floor by gas pump at exxon/ 7- eleven on Name chica and palm blvd(across taco palenque ). given to female attendant inside store around 12pm
197783,8/20/2015,2015,8,twitter,NS,thursdays look Name time
219630,10/3/2014,2014,10,facebook,CS,you know what thats what BankD bank bank gets! they wanna be stupid they have the worst customer service and now they got these dumb regulations. its bad for the customers but they wanted to be an inconvenience now they about to lose a lot of customers. come to BankA i got you. lmao!!!
147901,8/10/2015,2015,8,twitter,S,"money, money, money...... getting cash at BankB fb. me/ 1nwxrvul6"
91919,1/4/2015,2015,1,facebook,NS,BankC struggles to stay boring BankC doubled its commodity-trading revenue while oil crashed INTERNET Name Name settled into an armchair at BankC Name. Äôs Name Name headquarters in january and shared his strategy to make the bank boring.
151094,8/8/2015,2015,8,twitter,CS,never fucking with BankA again
219204,8/2/2015,2015,8,twitter,CS,yo iost my credit card help me out twit_hndl_BankA
50287,8/18/2015,2015,8,twitter,S,"twit_hndl_BankA use to love the deposit by phone app. but not any more, its basiBankC anke useless since it only usable during business hours"
125123,8/22/2015,2015,8,twitter,S,Name starting to dislike twit_hndl_BankA 300$ i had to pay in overdraft fees like rebanke? Name a college student trying to survive
104482,8/5/2014,2014,8,facebook,NS,five9 downgraded by BankB to buy.$ 8.50 Name. INTERNET$ fivn
167888,8/26/2015,2015,8,twitter,CS,"ret_twit twit_hndl: thanks. gosh, BankA is just so avaricious and deceptive. INTERNET Ö"
153633,9/23/2014,2014,9,facebook,NS,now open: halloween Name! located in the parking lot beside BankA.
23424,8/8/2015,2015,8,twitter,NS,twit_hndl BankC hall
65916,8/12/2015,2015,8,twitter,NS,all these damn bills.. geesh
15475,8/10/2015,2015,8,twitter,NS,twit_hndl$ BankD m asymmetric risk-reward Name opportunity in BankD INTERNET Ö
146393,12/6/2014,2014,12,facebook,NS,meet Name at the toy drive drive! across from the BankA  on Name starting at 11:00 a. m.
130107,6/17/2015,2015,6,facebook,NS,is there a trend here??????? rip mr. lee. INTERNET/
121235,7/4/2015,2015,7,facebook,CS,i love BankC. i have 3 of them
49587,8/6/2015,2015,8,twitter,NS,twit_hndl_BankA please ohhhhh please twit_hndl_BankA
25067,8/31/2015,2015,8,twitter,S,twit_hndl are you sure its not restricted to a specific credit card card? my only options are BankC cards and banke
114572,10/31/2014,2014,10,facebook,S,hi everyone just letting everyone know i bank at BankB now last night i had a balance of 4.04 but not to worry i had a deposit coming in this morning noBankA rom a 4.04 positive balance my next charge was-35.00 for a overdraft fee kinda fishy mabey a mistake now after a hour of bull from 2 reps i still have farther to go now i have printed the paper showing im right but please save your money and time and do not bank at BankB
88475,1/21/2015,2015,1,facebook,NS,chevron Name to Äúmarket perform Ä at BankA & Name.(cvx )- Name legacy INTERNET ‚
185274,12/2/2014,2014,12,facebook,NS,so wishing i could have my BankA  family family here with me in florida i miss them so much but i guess i gotta make a new BankAfamily here.... i had the best managers in the world
54164,3/13/2015,2015,3,facebook,NS,dodgers adult replica replica
160769,2/1/2015,2015,2,facebook,NS,Name Name brownie Name shared BankBs photo. did you overspend over the holidays? cutting BankB  on non-essentials can help you dig out of debt. watch this video for ideas: INTERNET
60545,8/12/2015,2015,8,twitter,NS,"$ Name$ plce: morning Name: BankB corporation(nyse:BankB Name ), silver: INTERNET"
70832,8/9/2014,2014,8,facebook,S,Name BankA customers this woman stole a customers pin and a store caught a picture of her withdrawing money from the account of the stolen pin. the bank is not doing anything about it or insuring the money. not only is BankA a bank i dont bank with because theyve admitted to participating in slavery but apparently they do not insure your money.
14555,8/19/2015,2015,8,twitter,CS,twit_hndl_BankB_help Name is my debit card? i am waiting 8/10/2015 and debit card dont reach to me?
189444,8/18/2015,2015,8,twitter,NS,tax-smart Name Name selling real estate- BankA Name ow. ly/ pocsg
5033,8/22/2015,2015,8,twitter,PR,twit_hndl Name is corporate fascism? millions lost either homes either homes or credit and
116271,10/24/2014,2014,10,facebook,PR,how to avoid BankBs international atm Name- johnny jet jet Name Äôs always smart to check with your bank to see if they have any international partners so you can get the withdrawal fee waived(usubanke$ 5 ). for example INTERNET
206609,8/23/2014,2014,8,facebook,NS,well the day is almost over i have worked most of my birthday at BankB two days so tonight i will top it off with a daiquiri then maybe some crab legs legs but i do want to say thanks to my family and friends that are wishing me a happy birthday i love you all and miss all of you thats in Name Name and ohio and other places.
54757,8/3/2015,2015,8,twitter,NS,Name
25021,8/18/2015,2015,8,twitter,CS,"twit_hndl thank you for reporting the atm location to us, we will have the issue looked into right away. Name_Resp"
105954,11/9/2014,2014,11,facebook,NS,free my twin Name BankC tuff BankC ft kingice champ stakk money and Name finest scrooge Name filmed and edited by dizzydott
216390,8/19/2015,2015,8,twitter,S,why the fuck do you guys have braille at the drive up atm twit_hndl_BankA
183486,9/6/2014,2014,9,facebook,CS,sitting in the BankB and waiting for someone. so boring Ä Ç Ä Ç Ä Ç Ä Ç Ä Ç
148291,10/1/2014,2014,10,facebook,PR,morning team this is last week to sign up for BankB race expo please go to your emails and link up. thank and have a great week. Name blessed.
175164,8/25/2015,2015,8,twitter,NS,ret_twit twit_hndl: like i said not due to china: BankD Name$ 27.18 Name in Name Name in three trading sessions INTERNET Ö
196109,10/8/2014,2014,10,facebook,NS,theusefulmba- BankD mission main street Name vote for theusefulmba at https:// INTERNET- BankDs$ 3 Name mission main street Name program for small business is in full swing! apply or vote today! learn more here: INTERNET INTERNET
13204,8/27/2015,2015,8,twitter,S,twit_hndl_BankB_help all i want to do is close my account. Name not interested in bank by mail. please tell me what i need to do to close my account.
157198,12/18/2014,2014,12,facebook,NS,panthers newton throws in return; status iffy panther Name fans who are figuring out how their team can make the playoffs are clinging to hope filled emotion instead of facing the obvious. this is not a good team capable of competing for the super bowl. 8 losses as a result of a myriad of shortcomings; dont let the last two weeks fool you. the panthers should be looking forward to prime draft positioning to build for contention instead of an inevitable exit from the playoffs. Name Name quarterBankB  Name Name returned to practice wednesday for the first time since suffering two small fractures in his lower BankB  in a Name. 9 automobile crash near BankB stadium stadium.
193646,8/22/2015,2015,8,twitter,NS,the end of burning as to give BankD air engine maximization prevailing businesses: ecirqbm
19976,8/2/2015,2015,8,twitter,NS,twit_hndl
121442,9/16/2014,2014,9,facebook,CS,i love BankA they have been good to us for sure. BankB  when i had a business i wish i had access to a loan company like this.
151904,1/20/2015,2015,1,facebook,NS,new Name stock exchange and Name BankC ceo invest in coinbase ~ Name Name currency
157285,8/26/2015,2015,8,twitter,NS,parents--set your student on the right path for building good credit
77559,8/21/2014,2014,8,facebook,PR,BankBs$ 17 billion settlement could be announced thursday- the columbian- latest... ‚ INTERNET
39300,8/31/2015,2015,8,twitter,S,"twit_hndl Name would be better hours? to check the operating hours for the BankA stores near you, visit spr. ly/ 6011byeec. Name_Resp"
55892,8/10/2015,2015,8,twitter,NS,Name
125373,8/21/2014,2014,8,facebook,NS,ian ferences Name Name the various stories of Name Name getting screwed over by a variety of people in his career- notably Name Name and j. p. Name- are many. this photograph depicts some machinery left on-site... INTERNET
49827,8/6/2015,2015,8,twitter,NS,twit_hndl_BankA someone
79119,10/17/2014,2014,10,facebook,NS,better city- BankD mission main street grants vote vote for better city at https:// INTERNET- BankDs$ 3 Name mission main street grants program program for small business is in full swing! apply or vote today! learn more here: INTERNET INTERNET
204231,11/4/2014,2014,11,facebook,PR,wall street street has a mixed showing as oil prices slump to a nearly 2 1/ 2 year low. and some new trouble for BankD. Name Name reports. ‚
72993,10/12/2014,2014,10,facebook,NS,BankB chicago marathon: Name Name Name INTERNET
187802,8/15/2015,2015,8,twitter,NS,stop by twit_hndl BankA arena to learn more about the app & the Name hunt! twit_hndl twit_hndl twit_hndl
133578,8/17/2015,2015,8,twitter,NS,Name wood group Name underweight rating reiterated at BankD & Name.. Name 577 Name. ift. tt/ 1mwc6pz$ Name
132014,8/21/2015,2015,8,twitter,NS,"j. p. Name, goldman sachs Name, Name Name to form reference"
208569,3/25/2015,2015,3,facebook,PR,BankA gave over 9 million dollars to habitat last year year!
33140,8/23/2015,2015,8,twitter,CS,twit_hndl bruh the lady at BankB pressured me to get a credit card but i was like no Name Name said no
7747,8/27/2015,2015,8,twitter,S,twit_hndl_BankA i wanted to know when my opportunity account will convert because i need to deposit checks thru atm rather then goin inside
127073,8/6/2015,2015,8,twitter,NS,ift. tt/ 1t5iu11 BankB BankB is pulling cash from one of Name Name funds bit. ly/ 1iq9z8u
163860,8/27/2015,2015,8,twitter,S,ret_twit twit_hndl: BankA app makes life so much easier
208827,9/5/2014,2014,9,facebook,CS,BankA has to be the worst freakin bank ever. Name it to he * *
53103,8/12/2015,2015,8,twitter,NS,"bnpp, twit_hndl_BankD and twit_hndl have provided their projections for eurusd! along with their... bit. ly/ 3banks-eur INTERNET"
242,8/18/2015,2015,8,twitter,NS,?? BankD may settle with Name on investment-steering case: Name dlvr. it/ btmw4z
3680,8/25/2015,2015,8,twitter,CS,"twit_hndl for further assistance, please let us know more about whats going on. we advise you do not reply with any account numbers. Name_Resp"
159489,2/11/2015,2015,2,facebook,NS,post 500 piece puzzle selfies lol also interview at BankC in the morning. hopefully a good omen.
40646,8/3/2015,2015,8,twitter,CS,twit_hndl Name. Name following up on the feedBankB  you provided. please dir_msg the requested info so we can look into your issue. Name_Resp
192905,10/15/2014,2014,10,facebook,NS,the Name room- BankD mission main street Name vote for the Name room at https:// INTERNET- BankDs$ 3 Name mission main street Name program for small business is in full swing! apply or vote today! learn more here: INTERNET INTERNET
122269,8/23/2015,2015,8,twitter,S,"i recently applied for a$ 50,000 line of credit twit_hndl_BankA, so it will believe at my business, my project, and me?"
31333,8/12/2015,2015,8,twitter,CS,twit_hndl i am following up to see if you need assistance. let me know how i can help. Name_Resp
78610,2/2/2015,2015,2,facebook,S,been handling business with my business potna BankD Name all day. the foundation is being laid for a very bright future.
7988,8/13/2015,2015,8,twitter,S,"twit_hndl_BankA it was the travel plan submission, but it worked about a half-hour later."
8293,8/19/2015,2015,8,twitter,CS,twit_hndl_BankA okay thank you
147653,10/10/2014,2014,10,facebook,NS,modern by Name contemporary jewelry- BankD mission main street Name vote for modern by Name contemporary jewelry at https:// INTERNET- BankDs$ 3 Name mission main street Name program for small business is in full swing! apply or vote today! learn more here: INTERNET INTERNET
12816,8/20/2015,2015,8,twitter,NS,twit_hndl 10 tips to manage exam stress- bit. ly/ 1dsxezk
199248,11/5/2014,2014,11,facebook,NS,tonight in mesa power/ main next to BankD bank!
171484,8/13/2015,2015,8,twitter,NS,ret_twit twit_hndl: if anybodys mom went to BankD bank today and is pissed because of some kid. tell her i said fuck you dumb bitch
141319,1/1/2015,2015,1,facebook,NS,lee Name shared Name Name Name Name Name photo.
4386,8/7/2015,2015,8,twitter,CS,twit_hndl i d be happy to give you a call to discuss your concerns and see what i can do to help. Name_Resp
189739,8/5/2015,2015,8,twitter,NS,ted Name not eligible to be president- period-dads a Name moms a Name Name a BankD  Name Name Name usa sovereignty traitor
36088,8/19/2015,2015,8,twitter,CS,twit_hndl thanks for taking the time to speak with me today. please let us know if you need anything else. have a great day! Name_Resp
16381,8/24/2015,2015,8,twitter,CS,twit_hndl tell us why you feel this way(no account numbers ). we would like to try to help. Name_Resp
130669,8/15/2015,2015,8,twitter,S,it was harder to say bye than i thought. the hardest part was putting down my building pass. thank you twit_hndl_BankA for the awesome exp.
147687,8/11/2015,2015,8,twitter,NS,Name Name sells stake in BankC INTERNET Ö$ c INTERNET
197839,9/10/2014,2014,9,facebook,NS,tickets starting at$ 36! Name tickets for varekai by cirque du Name at BankA center! INTERNET
31203,8/10/2015,2015,8,twitter,CS,"twit_hndl Name send a dir_msg with your name, zip & phone if theres anything i can do to help. no account numbers. Name_Resp"
37603,8/18/2015,2015,8,twitter,CS,"twit_hndl 1/ 2 please delete the tweet that shows your card information. for security, this card has been closed."
199685,3/30/2015,2015,3,facebook,PR,traction sport Name and entertainment added 7 new photos. pleased to be at the BankD  Name corporate challenge!
150691,9/5/2014,2014,9,facebook,NS,need a prayer. BankD may have a fractured growth plate(broken leg ). no insurance at an er. here we go. Name.
11859,8/15/2015,2015,8,twitter,CS,twit_hndl Name be happy to assist with any account related inquiries. Name_Resp
159645,10/4/2014,2014,10,facebook,NS,prairie view Name family care- BankD mission main street Name vote for prairie view vieBankA amily care at https:// INTERNET- BankDs$ 3 Name mission main street Name program for small business is in full swing! apply or vote today! learn more here: INTERNET INTERNET
208695,10/3/2014,2014,10,facebook,S,BankA handing out counterfeit money and not accepting responsibility. shameful!
135000,8/5/2015,2015,8,twitter,NS,"BankD  Name to Name double Name Name in 2015, 2016 dlvr. it/ blnghc"
162396,8/27/2015,2015,8,twitter,NS,research indicates this is twit_hndl_BankC policy. understand why not last name. but id
118930,8/11/2014,2014,8,facebook,S,i got a text from BankB telling me to call 88888888888. it was urgent possible breach of my account. when i called i was prompted to give my 16
23577,8/26/2015,2015,8,twitter,CS,"twit_hndl reminds me of when i temped for BankA. boss, standing a couple feet away from me, says lot of work for just two people, huh"
213257,10/17/2014,2014,10,facebook,CS,what does a 550 credit score report look like? what obstacles might a lender deal with for a customer with a foreclosure!! where my BankB associates at?
118666,8/28/2015,2015,8,twitter,CS,i feel so bad for my father... Name dude has to babysit grown ass managers who cant even figure out how to BankD a parked car.. shits brutal
79633,12/27/2014,2014,12,facebook,NS,Name Name shared Name Name Name Name Name photo.
25872,8/24/2015,2015,8,twitter,NS,twit_hndl idk i think the BankC presale will work for the vip too. right?
88792,8/27/2015,2015,8,twitter,NS,choosing the hale accountant for Name tax management- Name average person í s mind earth closet BankD after... tmblr. co/ zta3nm1sxxzkd
70101,12/14/2014,2014,12,facebook,NS,Name Name! share q lang po ang blessings.... Name may gustong mag earn dollars$$$ straight from the BankB direct to your philippines atm bank account???? taas kamay!!! este pm me or text to my
121790,8/1/2014,2014,8,facebook,NS,i need to find a triple a member let me know got 3 pesos coins worth about a$ 100 and the only place that will take em because they are partners with BankA
26030,8/5/2015,2015,8,twitter,PR,twit_hndl Name planning to protest Name Name at BankA arena?
68924,8/6/2015,2015,8,twitter,NS,"apple Name(aapl ), BankB(BankB ), facebook(Name)Name high volume Name Name goo. gl/ fb/ udexr6$ Name"
143449,12/13/2014,2014,12,facebook,NS,looking to sell my male albino hognose$ 200 from justin mitcham(extremehogs)only trade Name consider is a suriname BankB(bcc)
5044,8/20/2015,2015,8,twitter,CS,twit_hndl youre welcome welcome. we are glad to assist. Name_Resp
212130,12/14/2014,2014,12,facebook,CS,BankA  Name Name just living for me all the other shit irrelevant... they love too see u lose
39766,8/21/2015,2015,8,twitter,CS,twit_hndl sorry again for the inconvenience. if you would like us to review the account please Name phone number & best time to call only. Name_Resp
56814,8/5/2015,2015,8,twitter,NS,Name Name twit_hndl: 2310 Name. 95th for the call of man in BankD bank yelling gangster disciple & saying a war is about to start.
113078,8/11/2015,2015,8,twitter,NS,Name appears to be a BankB branch in Name chinatown.
70521,1/6/2015,2015,1,facebook,NS,at BankA and this little girl maybe 2 years old and has a phone. she went to youtube to play let it go and shes muttering world-like sounds that are right on Name its adorable!
14723,8/21/2015,2015,8,twitter,S,twit_hndl_BankB_help your atm eats my money and yet Name the one whose being a bother? awesome customer service.
196628,8/1/2014,2014,8,facebook,NS,this crazy ass girl said if she worked at BankB the whole eastside gone be on cause erbodi gone eat frm da east to south to da north n BankB  to the east laawd that damn Name Name
505,10/6/2014,2014,10,facebook,S,... kinda curious as to why there isnt a BankB in Name...
142270,10/7/2014,2014,10,facebook,NS,listening to the scanner this morning and about 45 minutes minutes ago the auto parts store on the 500 block of Name. highland was broken into. earlier in the evening the BankB atm at weinerschnitzel(on university)had an attempted break in- the door had pry marks and both cameras were covered with cloth. just now another call for a plastics company on tippecanoe. no wonder we cant keep businesses around here. no businesses equal no jobs.
112307,10/13/2014,2014,10,facebook,NS,have 2 fleetwood mac mac tickets for sale- this wednesday(15th)at BankA center- message me if interested.....
175853,8/7/2015,2015,8,twitter,NS,ret_twit twit_hndl: streets are talking..
62234,8/10/2015,2015,8,twitter,NS,3 tickets carolina panthers Name vs no saints 9/ 27 BankB stadium stadium INTERNET
